epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.503,0.55854,1.7233,1.00273,0.94952,0.9413,0.99262,0.9055,0.40503,0.82515,0.79988,0.000551392,0.000551392,0.000551392
2,343.107,0.4883,0.84779,0.93576,0.96385,0.96387,0.98833,0.9041,0.41706,0.78993,0.83603,0.00107053,0.00107053,0.00107053
3,508.23,0.48183,0.74435,0.92456,0.98012,0.975,0.99273,0.92634,0.40959,0.5991,0.80423,0.00155299,0.00155299,0.00155299
4,3183.22,0.45834,0.68765,0.92055,0.9388,0.96822,0.98898,0.90013,0.41494,0.68776,0.78843,0.00150197,0.00150197,0.00150197
5,3345.58,0.44692,0.64799,0.92172,0.99044,0.99865,0.995,0.92485,0.38367,0.52685,0.76581,0.00144696,0.00144696,0.00144696
6,3506.73,0.44928,0.60707,0.92155,0.99386,0.99817,0.995,0.89305,0.4502,0.47227,0.83002,0.00139195,0.00139195,0.00139195
7,3669.41,0.41516,0.56689,0.90086,0.98192,0.92071,0.96886,0.87025,0.44509,0.55808,0.82249,0.00133693,0.00133693,0.00133693
8,3835.45,0.3911,0.52017,0.9006,0.98626,0.97335,0.98923,0.94141,0.34786,0.4256,0.75931,0.00128192,0.00128192,0.00128192
9,3997.77,0.37851,0.49842,0.88155,0.99156,1,0.995,0.91953,0.35442,0.32581,0.77038,0.00122691,0.00122691,0.00122691
10,4162.18,0.36637,0.48635,0.89152,0.99713,1,0.995,0.94795,0.33168,0.35071,0.77257,0.0011719,0.0011719,0.0011719
11,4325.28,0.35701,0.45286,0.88136,0.99063,0.99978,0.995,0.94532,0.32574,0.30963,0.7498,0.00111689,0.00111689,0.00111689
12,4488.31,0.34705,0.42933,0.88144,0.99358,1,0.995,0.9373,0.35091,0.33443,0.79274,0.00106188,0.00106188,0.00106188
13,4653.19,0.34183,0.42084,0.88688,0.99331,1,0.995,0.94143,0.31823,0.30069,0.73994,0.00100687,0.00100687,0.00100687
14,4821.3,0.35026,0.422,0.8772,0.98936,0.99865,0.995,0.95099,0.30739,0.28966,0.75618,0.000951857,0.000951857,0.000951857
15,4997.79,0.33081,0.40606,0.87382,0.96548,1,0.995,0.9386,0.33318,0.38169,0.76716,0.000896846,0.000896846,0.000896846
16,5172.72,0.32186,0.39307,0.87074,0.98984,1,0.995,0.95557,0.28883,0.26988,0.74198,0.000841835,0.000841835,0.000841835
17,5338.61,0.31528,0.37659,0.87014,0.99166,1,0.995,0.93463,0.33511,0.26857,0.7568,0.000786824,0.000786824,0.000786824
18,5499.49,0.3046,0.36352,0.86792,0.9738,1,0.99381,0.93869,0.30526,0.27021,0.75335,0.000731813,0.000731813,0.000731813
19,5658.9,0.28736,0.35778,0.86153,0.99544,1,0.995,0.95034,0.28261,0.25063,0.74089,0.000676802,0.000676802,0.000676802
20,5818.01,0.29465,0.33925,0.86188,0.97271,1,0.99381,0.9568,0.28756,0.23693,0.75325,0.000621791,0.000621791,0.000621791
21,5984.59,0.26459,0.35193,0.83827,0.95406,0.95039,0.95284,0.91349,0.28742,0.36668,0.76339,0.00056678,0.00056678,0.00056678
22,6141.38,0.26604,0.30826,0.83148,0.94419,0.99806,0.99262,0.94202,0.30184,0.28507,0.75786,0.000511769,0.000511769,0.000511769
23,6299.37,0.25088,0.29748,0.82755,0.97394,0.97719,0.99375,0.96437,0.30184,0.34586,0.77776,0.000456758,0.000456758,0.000456758
24,6455.43,0.24532,0.26503,0.82111,0.99347,1,0.995,0.96412,0.29009,0.23503,0.76506,0.000401747,0.000401747,0.000401747
25,6612.86,0.24297,0.2603,0.82645,0.99585,1,0.995,0.95284,0.29701,0.21897,0.77012,0.000346736,0.000346736,0.000346736
26,6772.12,0.2358,0.24216,0.82787,0.99481,1,0.995,0.94188,0.30601,0.22472,0.76931,0.000291725,0.000291725,0.000291725
27,6934.23,0.22635,0.23282,0.83675,0.99498,1,0.995,0.9431,0.28619,0.20632,0.76695,0.000236714,0.000236714,0.000236714
28,7092.8,0.21807,0.2262,0.82029,0.99471,1,0.995,0.95179,0.28372,0.21472,0.7612,0.000181703,0.000181703,0.000181703
29,7252.88,0.20468,0.21251,0.82301,0.99522,1,0.995,0.94397,0.28308,0.20258,0.76166,0.000126692,0.000126692,0.000126692
30,7411.02,0.1989,0.20686,0.82337,0.99504,1,0.995,0.94878,0.27868,0.20484,0.76524,7.1681e-05,7.1681e-05,7.1681e-05
